num.plants,stage,fate,plot,year.start
0,flower,flower,2,1993
9,seed,small,3,1993
3,seed,medium,3,1993
0,seed,large1,3,1993
0,seed,large2,3,1993
25,small,dead,3,1993
0,small,small,3,1993
18,small,medium,3,1993
14,small,large1,3,1993
1,small,large2,3,1993
0,small,flower,3,1993
5,medium,dead,3,1993
0,medium,small,3,1993
7,medium,medium,3,1993
20,medium,large1,3,1993
7,medium,large2,3,1993
0,medium,flower,3,1993
0,large1,dead,3,1993
0,large1,small,3,1993
0,large1,medium,3,1993
6,large1,large1,3,1993
9,large1,large2,3,1993
8,large1,flower,3,1993
0,large2,dead,3,1993
0,large2,medium,3,1993
1,large2,large1,3,1993
0,large2,large2,3,1993
4,large2,flower,3,1993
8,flower,dead,3,1993
0,flower,large1,3,1993
0,flower,large2,3,1993
0,flower,flower,3,1993
6,seed,small,4,1993
1,seed,medium,4,1993
0,seed,large1,4,1993
0,seed,large2,4,1993
41,small,dead,4,1993
10,small,small,4,1993
24,small,medium,4,1993
0,small,large1,4,1993
0,small,large2,4,1993
0,small,flower,4,1993
4,medium,dead,4,1993
2,medium,small,4,1993
38,medium,medium,4,1993
10,medium,large1,4,1993
1,medium,large2,4,1993
1,medium,flower,4,1993
0,large1,dead,4,1993
0,large1,small,4,1993
17,large1,medium,4,1993
8,large1,large1,4,1993
0,large1,large2,4,1993
7,large1,flower,4,1993
0,large2,dead,4,1993
0,large2,medium,4,1993
0,large2,large1,4,1993
0,large2,large2,4,1993
0,large2,flower,4,1993
5,flower,dead,4,1993
0,flower,large1,4,1993
0,flower,large2,4,1993
0,flower,flower,4,1993
48,seed,small,5,1993
18,seed,medium,5,1993
0,seed,large1,5,1993
0,seed,large2,5,1993
26,small,dead,5,1993
5,small,small,5,1993
36,small,medium,5,1993
13,small,large1,5,1993
0,small,large2,5,1993
0,small,flower,5,1993
5,medium,dead,5,1993
1,medium,small,5,1993
10,medium,medium,5,1993
34,medium,large1,5,1993
3,medium,large2,5,1993
0,medium,flower,5,1993
3,large1,dead,5,1993
0,large1,small,5,1993
3,large1,medium,5,1993
18,large1,large1,5,1993
12,large1,large2,5,1993
8,large1,flower,5,1993
1,large2,dead,5,1993
0,large2,medium,5,1993
1,large2,large1,5,1993
2,large2,large2,5,1993
22,large2,flower,5,1993
25,flower,dead,5,1993
0,flower,large1,5,1993
0,flower,large2,5,1993
0,flower,flower,5,1993
96,seed,small,6,1993
14,seed,medium,6,1993
1,seed,large1,6,1993
0,seed,large2,6,1993
9,small,dead,6,1993
3,small,small,6,1993
16,small,medium,6,1993
12,small,large1,6,1993
0,small,large2,6,1993
0,small,flower,6,1993
1,medium,dead,6,1993
0,medium,small,6,1993
8,medium,medium,6,1993
14,medium,large1,6,1993
2,medium,large2,6,1993
2,medium,flower,6,1993
2,large1,dead,6,1993
1,large1,small,6,1993
3,large1,medium,6,1993
18,large1,large1,6,1993
1,large1,large2,6,1993
22,large1,flower,6,1993
1,large2,dead,6,1993
0,large2,medium,6,1993
1,large2,large1,6,1993
0,large2,large2,6,1993
8,large2,flower,6,1993
37,flower,dead,6,1993
0,flower,large1,6,1993
0,flower,large2,6,1993
0,flower,flower,6,1993
17,seed,small,7,1993
0,seed,medium,7,1993
0,seed,large1,7,1993
0,seed,large2,7,1993
4,small,dead,7,1993
0,small,small,7,1993
7,small,medium,7,1993
0,small,large1,7,1993
0,small,large2,7,1993
1,small,flower,7,1993
1,medium,dead,7,1993
0,medium,small,7,1993
2,medium,medium,7,1993
8,medium,large1,7,1993
2,medium,large2,7,1993
2,medium,flower,7,1993
5,large1,dead,7,1993
0,large1,small,7,1993
2,large1,medium,7,1993
9,large1,large1,7,1993
1,large1,large2,7,1993
17,large1,flower,7,1993
1,large2,dead,7,1993
0,large2,medium,7,1993
0,large2,large1,7,1993
0,large2,large2,7,1993
9,large2,flower,7,1993
38,flower,dead,7,1993
1,flower,large1,7,1993
0,flower,large2,7,1993
0,flower,flower,7,1993
93,seed,small,8,1993
16,seed,medium,8,1993
1,seed,large1,8,1993
0,seed,large2,8,1993
27,small,dead,8,1993
13,small,small,8,1993
64,small,medium,8,1993
6,small,large1,8,1993
1,small,large2,8,1993
3,small,flower,8,1993
2,medium,dead,8,1993
0,medium,small,8,1993
22,medium,medium,8,1993
25,medium,large1,8,1993
0,medium,large2,8,1993
0,medium,flower,8,1993
2,large1,dead,8,1993
0,large1,small,8,1993
11,large1,medium,8,1993
22,large1,large1,8,1993
3,large1,large2,8,1993
10,large1,flower,8,1993
0,large2,dead,8,1993
0,large2,medium,8,1993
1,large2,large1,8,1993
0,large2,large2,8,1993
8,large2,flower,8,1993
12,flower,dead,8,1993
1,flower,large1,8,1993
0,flower,large2,8,1993
0,flower,flower,8,1993
