https://wrcc.dri.edu/cgi-bin/cliMAIN.pl?wy1675,,,,"CHEYENNE WSFO AP, WY",,,,,,,,,,,
year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,precip.ann,precip.wateryear,precip.summer.apr.aug
1950,0.23,0.15,0.89,1.81,2.48,1.51,2.79,0.39,2.67,0.25,1.09,0.14,14.4,14.56,8.98
1951,0.69,0.17,0.51,1.94,2.77,1.76,2.74,1.85,0.75,2.26,0.79,0.93,17.16,14.66,11.06
1952,0,0.72,1.84,0.86,2.67,1.48,1.19,1.86,0.29,0.34,1.06,0.21,12.52,14.89,8.06
1953,0.34,2.16,0.89,1.45,1.47,3.58,2.51,1.89,0.1,0.13,0.46,0.26,15.24,16,10.9
1954,0.21,0.08,2.54,0.4,1.45,1.37,1.2,1.38,1.08,0.15,0.28,0.2,10.34,10.56,5.8
1955,0.29,0.58,0.57,1.16,2.27,5.32,0.93,1.21,1.4,0.18,1.23,0.32,15.46,14.36,10.89
1956,0.7,0.46,0.24,1.31,2.56,0.99,1.43,1.73,0.14,0.16,1.27,0.41,11.4,11.29,8.02
1957,0.67,0.08,0.99,2.82,5.35,2.01,2.42,2.92,0.56,1.35,0.57,0.1,19.84,19.66,15.52
1958,0.06,0.5,2.08,1.13,2.98,1.79,3.85,1.35,0.91,0.2,0.45,1.27,16.57,16.67,11.1
1959,0.52,0.3,1.09,1.54,4.16,0.71,0.8,0.77,1.61,1.38,0.16,0.03,13.07,13.42,7.98
1960,0.17,0.49,0.31,0.82,0.96,1.36,0.94,0.69,0.66,1.11,0.43,0.28,8.22,7.97,4.77
1961,0.06,0.37,2.08,0.83,2.92,2.91,1.53,3.12,2.17,0.56,0.35,0.09,16.99,17.81,11.31
1962,0.67,0.56,0.39,0.54,2.72,2.82,4.02,0.4,1.3,0.62,0.33,0.25,14.62,14.42,10.5
1963,0.51,0.17,0.74,1.66,1.14,2.84,0.77,2.28,3.28,1.06,0.02,0.42,14.89,14.59,8.69
1964,0.03,0.24,0.58,1.3,0.84,1.01,1,0.28,0.33,0.03,0.14,0.16,5.94,7.11,4.43
1965,0.57,0.26,0.76,0.57,3.11,4.03,0.89,1.54,1.32,0.75,0,0.22,14.02,13.38,10.14
1966,0.11,0.22,0.12,0.48,0.21,1.95,3.38,2.78,2.12,0.68,0.29,0.08,12.42,12.34,8.8
1967,0.45,0.54,0.76,2.15,4.04,2.63,1.71,0.99,0.88,0.46,0.32,0.46,15.39,15.2,11.52
1968,0.04,0.3,0.31,2.34,3.54,0.87,1.25,1.21,0.2,0.86,0.71,0.28,11.91,11.3,9.21
1969,0.23,0.25,0.27,0.82,1.77,2.7,0.58,0.99,0.84,2.04,0.23,0.21,10.93,10.3,6.86
1970,0.1,0.04,1.32,0.85,3.13,2.42,0.82,0.14,1.1,1.3,0.3,0.31,11.83,12.4,7.36
1971,0.51,0.62,1.08,2.81,2.38,0.97,1.08,1.41,1.76,1.16,0.05,0.07,13.9,14.53,8.65
1972,0.36,0.02,0.79,0.8,2.76,1.71,1.35,1.83,1.01,0.42,0.59,0.4,12.04,11.91,8.45
1973,0.23,0.07,1.85,1.75,0.31,1.2,5.01,0.27,4.52,0.06,1.25,1.06,17.58,16.62,8.54
1974,0.48,0.03,1.24,0.5,0.11,2.81,1.41,1.29,0.5,0.91,0.49,0.1,9.87,10.74,6.12
1975,0.4,0.17,1.17,0.47,2.27,1.49,2.62,0.39,0.52,0.49,0.2,0.52,10.71,11,7.24
1976,0.32,0.71,0.32,1.79,2.07,0.68,2.39,1.4,0.77,0.15,0.28,0.1,10.98,11.66,8.33
1977,0.14,0.08,1.21,1.86,2.5,2.44,3.49,1.07,0.19,0.08,0.35,0.24,13.65,13.51,11.36
1978,0.58,0.78,0.35,0.52,3.98,0.63,0.98,1.38,0.12,0.5,0.45,0.54,10.81,9.99,7.49
1979,0.27,0.14,1.34,0.77,2.9,3.32,1.83,1.86,0.32,0.46,2.48,1.5,17.19,14.24,10.68
1980,2.71,0.73,1.36,0.93,2.39,0.07,2,1.55,0.97,0.51,0.46,0.08,13.76,17.15,6.94
1981,0.3,0.2,0.7,0.73,5.67,1.66,2.85,2.9,0.31,0.85,0.09,0.45,16.71,16.37,13.81
1982,0.41,0.19,0.17,0.53,3.56,4.52,2.71,1.81,2.87,1.2,0.43,0.83,19.23,18.16,13.13
1983,0.02,0,2.96,4.45,2.31,2.81,2.12,1.95,0.78,0.49,2.34,0.46,20.69,19.86,13.64
1984,0.54,0.84,1.28,3.71,0.78,2.43,2.57,2.84,0.65,1.55,0.11,0.34,17.64,18.93,12.33
1985,0.66,0.19,0.36,1.1,1.05,1.59,3.99,6.64,1.78,0.94,0.84,0.8,19.94,19.36,14.37
1986,0.13,0.5,0.54,2.26,1.03,2.42,1.04,1.55,2.47,1.78,0.66,0.18,14.56,14.52,8.3
1987,0.09,0.9,1.25,0.68,4.43,1.8,2.04,1.23,0.93,0.33,0.76,0.85,15.29,15.97,10.18
1988,0.52,0.65,1.34,1.84,3.09,2.03,1.79,1.79,1.66,0.09,0.42,0.53,15.75,16.65,10.54
1989,0.27,1.26,0.49,0.48,1.37,2.51,1.7,1.79,1.62,0.41,0.14,0.69,12.73,12.53,7.85
1990,0.35,0.69,3.65,1.66,3.37,1.03,3.64,1.98,0.8,1.35,0.72,0.39,19.63,18.41,11.68
1991,0.36,0.12,0.43,1.15,3.84,4.56,3.39,1.49,1.87,0.44,0.87,0.13,18.65,19.67,14.43
1992,1.18,0.11,1.75,0.34,1.86,2.11,1.87,1.9,0.01,0.46,1.69,0.49,13.77,12.57,8.08
1993,0.35,0.81,0.63,2.49,1.92,3.32,0.64,2.21,3.16,1.85,1.23,0.3,18.91,18.17,10.58
1994,0.66,0.88,0.55,1.45,2.05,1.44,2.13,1.49,0.38,1.55,0.34,0.57,13.49,14.41,8.56
1995,0.12,1.02,0.19,1.49,6,4.58,1.08,0.89,3.39,0.78,0.37,0.18,20.09,21.22,14.04
1996,0.5,0.07,1.5,1.51,2.24,1.79,3.1,1.79,2.34,0.5,0.45,0.01,15.8,16.17,10.43
1997,0.39,0.31,0.44,1.68,2.47,3.48,2.8,4.33,2.06,1.09,0.2,0.59,19.84,18.92,14.76
1998,0.07,0.29,0.69,1.09,2.35,1.63,1.21,0.96,0.49,1.27,0.31,0.46,10.82,10.66,7.24
1999,0.35,0.13,0.46,5.02,2.04,2.13,2.38,0.78,2.11,0.27,0.25,0.19,16.11,17.44,12.35
2000,0.35,0.59,1.48,0.58,1.38,0.46,2.64,1.87,2.64,0.69,0.3,0.75,13.73,12.7,6.93
2001,0.41,0.33,0.56,2.49,2.24,1.45,3.31,0.74,1.18,0.4,0.23,0.13,13.47,14.45,10.23
2002,0.17,0.64,0.85,0.68,0.75,0.68,0.48,2.21,1.73,1.1,0.46,0.11,9.86,8.95,4.8
2003,0.09,0.47,2.23,2.7,1.41,2.69,0.44,0.82,1.24,0.23,0.46,0.76,13.54,13.76,8.06
2004,0.07,0.45,0.15,1.24,1.04,3.37,1.73,0.92,3.06,0.64,1.55,0.13,14.35,13.48,8.3
2005,0.41,0.34,0.88,1.65,1.29,4.33,2.59,1.61,0.28,1.87,0.3,0.28,15.83,15.7,11.47
2006,0.05,0.52,1.7,0.82,1.61,0.25,2.98,0.98,1.02,0.58,0.07,1.55,12.13,12.38,6.64
2007,0.32,0.34,1.4,1.49,1.4,0.36,3.97,1.62,1.23,1.28,0.32,1.01,14.74,14.33,8.84
2008,0.02,0.17,0.74,0.54,2.5,1.91,0.43,6.55,1.12,0.57,0.4,0.31,15.26,16.59,11.93
2009,0.71,0.33,0.72,3.6,2.08,4.26,1.83,0.37,1.14,2.52,0.49,0.69,18.74,16.32,12.14
2010,0.07,0.69,1.21,3.8,3.06,2.42,2.11,0.34,0.01,0.82,0.73,0.35,15.61,17.41,11.73
2011,0.17,0.82,0.78,1.73,3.12,2.02,5.63,1.56,0.45,1.72,0.82,0.49,19.31,18.18,14.06
2012,0.13,0.9,0,0.39,0.3,2.69,2.58,0.14,1.3,1.13,0.02,0.57,10.15,11.46,6.1
2013,0.24,0.64,0.63,2.97,1.01,0.15,1.6,1.19,6.95,2.14,0.16,0.5,18.18,17.1,6.92
2014,1.01,1.15,0.9,0.91,2.99,1.98,3.24,1.48,1.74,0.51,1.19,0.67,17.77,18.2,10.6
2015,0.06,0.7,0.11,2.72,5.99,1.53,1.85,0.65,0.14,1.83,1.11,0.85,17.54,16.12,12.74
2016,0.48,0.72,2.33,3.06,2.03,2.08,1.08,1.05,0.8,0.27,0.38,0.43,14.71,17.42,9.3
2017,0.77,0.67,0.73,2.57,3.89,0.67,0.53,2.11,1.08,1.13,0.44,0.57,15.16,14.1,9.77
2018,0.57,0.34,0.94,0.94,4.1,1.55,2.43,2.71,0.09,0.69,0.94,0.28,15.58,15.81,11.73
